"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0097060","synaptic membrane","100/1254","433/16019",0.23094688221709,2.95018987738083,11.9891859852918,1.41692657027106e-23,3.79736320832644e-21,2.53555280995874e-21,"COL13A1/FOSL1/CHRNA9/ITGA3/SRPX2/PDLIM4/C1QA/C1QC/ITGB3/NRP1/KCNA2/LRRTM2/DGKI/GABBR1/CSPG5/CACNA2D2/ATP2B2/DLG2/FXYD6/KCTD8/GRM3/CACNG7/STX1B/LRRTM3/KCTD16/KCNJ9/UNC13A/RIMS4/GABRD/CHRNA2/CHRNB2/GABBR2/KCNK2/LRRC7/ADAM11/GRIN2C/SYP/CACNG2/IL1RAPL1/PDE2A/SNAP25/RGS7BP/GABRQ/CRHR1/KCNA1/RIMS1/NRXN1/CDH8/GABRB2/LRRTM1/KCNB1/SHISA7/LRRTM4/SHANK2/IQSEC3/SLC6A7/SYT1/GRM7/GLRA2/KCND2/CNTNAP2/PNOC/GRIA2/GABRA3/GAD2/CNTN1/CDH9/GABRA2/ELFN2/OPRD1/GABRB3/HTR5A/DCC/ABCC8/LRFN2/PRKCG/KCNJ3/DGKB/CHRNA4/HTR2A/LRFN5/CACNG3/UNC13C/RIMS2/SLITRK1/CHRM2/CBLN1/GRIA4/CHRM1/GRIN1/RPH3A/NETO1/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/SNAP91/SLC1A6",100
"GO:0034702","monoatomic ion channel complex","76/1254","324/16019",0.234567901234568,2.99644594089039,10.5799980426189,1.42191415449534e-18,1.27024331134917e-16,8.48159320225293e-17,"SCNN1B/SCNN1G/KCNN4/KCNE1/CHRNA9/CATSPER1/TRPC7/LRRC8E/SCNN1A/CLDN4/CATSPERB/KCNJ15/CACNA2D4/KCNMB1/KCNA2/KCNN1/TRPC5/CACNA2D2/DLG2/NALCN/SCN3A/KCNG4/CACNG7/KCNJ9/SCN5A/KCNK4/KCNH4/GABRD/KCNH8/CHRNA2/CHRNB2/KCNA4/CACNA1I/KCNJ12/KCNK2/GRIN2C/CACNG2/KCNH5/KCNQ5/SNAP25/GABRQ/KCNA1/KCNQ2/GABRB2/SLC17A8/KCNS2/KCNB1/OLFM3/KCNB2/SLC17A6/GLRA2/KCND2/CNTNAP2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/GABRB3/ABCC8/KCNJ3/CHRNA4/KCNIP4/CACNG3/RYR2/GRIA4/GRIN1/SLC17A7/CACNA1B/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/DPP10",76
"GO:0062023","collagen-containing extracellular matrix","85/1254","414/16019",0.205314009661836,2.62274730524158,9.74889444015626,8.19133471347959e-17,5.48819425803133e-15,3.66454447708298e-15,"MARCO/F13A1/LOX/LRRC15/SERPINE1/COL8A1/RARRES2/SLPI/ANXA1/COL1A1/S100A10/TIMP1/COL13A1/TNC/COL22A1/SERPINA3/ICAM1/LGALS3/S100A8/ANGPTL4/SERPINA1/ORM1/THBS1/ANXA2P2/COL6A3/SERPINA5/ITGB4/LOXL4/ANXA2/COL3A1/S100A9/AEBP1/SRPX2/MXRA5/EFEMP1/COL6A2/SERPING1/GDF15/TGFBI/COL5A1/ADAMTSL4/COL1A2/ANG/LOXL1/COL14A1/S100A4/CTSZ/LAMA3/LTBP2/EFEMP2/FBLN5/C1QA/FBLN1/F3/ADAMTS2/LTBP1/C1QB/COL6A1/FCN3/LOXL2/COLEC12/COL8A2/C1QC/IL7/ECM2/COL4A1/CTSC/LAMB1/GPC4/HAPLN1/NTN4/NCAN/COL11A2/VWA2/F7/BCAN/GDF10/ADAM11/ADAMTS20/SMOC1/RBP3/COL20A1/NPPA/TNR/CBLN1",85
"GO:0009897","external side of plasma membrane","78/1254","378/16019",0.206349206349206,2.6359712412344,9.38048933661807,1.19526569787704e-15,6.40662414062095e-14,4.27779302398099e-14,"IL2RA/SCNN1B/FCGR2B/CD163/SCNN1G/PLAU/FCGR2C/ICAM1/IL21R/THBS1/OSMR/SERPINA5/TRPM8/FOLR1/ITGA3/SLAMF6/PLAUR/CCR2/PDCD1LG2/CLEC2B/CD14/ANPEP/IL1RL1/ST14/CD3D/FCGR3A/SCNN1A/CTLA4/FCGR2A/CCR5/CD274/CLEC4D/IL7R/ASGR2/SELL/SDC1/F3/CXCR4/IL2RB/IL1R1/CSF2RB/CXCR3/CD2/ITGA2/FCN3/ITGAM/VCAM1/ITGB2/FCER1G/ITGB3/B4GALT1/TLR8/CD74/CD3E/TNFRSF9/LILRB1/THBD/SLAMF1/IL13RA1/HFE/GPC4/TNFRSF13C/FGF8/KLRK1/SLC1A1/RTN4R/KIT/ADAM29/CHRNB2/GFRA1/RTN4RL2/SCUBE1/GRIA2/KCNJ3/CHRNA4/KLRC3/KLRC4/KLRC2",78
"GO:1990351","transporter complex","87/1254","468/16019",0.185897435897436,2.37471373655584,8.79614187141277,1.7541094049632e-14,6.71573315043052e-13,4.48418945629689e-13,"SCNN1B/SCNN1G/KCNN4/C15orf48/KCNE1/CHRNA9/S100A9/CATSPER1/TRPC7/WDR93/LRRC8E/ATP6V0D2/SCNN1A/CLDN4/CATSPERB/KCNJ15/TCIRG1/CACNA2D4/KCNMB1/KCNA2/KCNN1/TRPC5/CACNA2D2/DLG2/NALCN/SCN3A/KCNG4/CACNG7/ATP1A2/KCNJ9/SCN5A/KCNK4/ATP8A1/KCNH4/GABRD/KCNH8/CHRNA2/CHRNB2/ATP6V1G2/KCNA4/CACNA1I/KCNJ12/KCNK2/GRIN2C/CACNG2/KCNH5/KCNQ5/SNAP25/GABRQ/KCNA1/KCNQ2/GABRB2/SLC17A8/KCNS2/KCNB1/OLFM3/KCNB2/SLC17A6/GLRA2/KCND2/CNTNAP2/GRIA2/GABRA3/KCNMB2/GABRA2/KCNIP2/GABRB3/ABCC8/KCNJ3/CHRNA4/KCNIP4/ATP1A3/ATP8A2/CACNG3/ATP6V0A4/RYR2/GRIA4/GRIN1/SLC17A7/CACNA1B/HCN1/KCNC2/GLRA3/GRID2/GABRG2/GABRA1/DPP10",87
"GO:0043235","receptor complex","74/1254","400/16019",0.185,2.36324960127592,8.0466470039892,2.17846427964784e-12,7.29785533682026e-11,4.87288062552806e-11,"IL2RA/CD44/VDR/GPRC5A/OSMR/ITGB4/LOXL4/IL6/CHRNA9/GPR84/MET/ITGA3/MTTP/IL18R1/TNFRSF11B/CD14/CD3D/ITPR3/EPHA1/IL18RAP/FLNA/IL2RB/CEACAM1/CSF2RB/ITGA2/ITGAM/TNFRSF1B/ITGB2/TLR2/EPHB4/TRAT1/ITGB5/ITGB3/CD74/CD3E/NRP1/IL13RA1/HFE/TNFRSF1A/GPR61/GABBR1/VIPR1/KCTD8/CACNG7/KIT/KCTD16/GABRD/CHRNA2/CHRNB2/ERBB3/GABBR2/GFRA1/GRIN2C/CACNG2/PLP1/GABRQ/GABRB2/OLFM3/GRM7/GRIA2/GABRA3/GABRA2/GABRB3/CHRNA4/HTR2C/HTR2A/CACNG3/GRIA4/GRIN1/KLRC3/GRID2/KLRC2/GABRG2/GABRA1",74
"GO:0008076","voltage-gated potassium channel complex","27/1254","88/16019",0.306818181818182,3.91939430187038,8.00292525164167,3.22772925383564e-10,7.20859533356626e-09,4.81328046624613e-09,"KCNN4/KCNE1/KCNMB1/KCNA2/KCNN1/DLG2/KCNG4/KCNH4/KCNA4/KCNK2/KCNH5/KCNQ5/SNAP25/KCNA1/KCNQ2/KCNS2/KCNB1/KCNB2/KCND2/CNTNAP2/KCNMB2/KCNIP2/KCNJ3/KCNIP4/HCN1/KCNC2/DPP10",27
"GO:0005581","collagen trimer","26/1254","83/16019",0.313253012048193,4.00159489633174,7.98983206530469,4.12398083495506e-10,8.50174510590736e-09,5.67673475256972e-09,"MARCO/LOX/COL8A1/COL1A1/COL13A1/COL22A1/COL6A3/COL3A1/COL6A2/COL5A1/COL1A2/COL14A1/C1QA/C1QB/COL6A1/FCN3/COLEC12/COL8A2/C1QTNF1/C1QC/COL4A1/MSR1/COL11A2/C1QL2/C1QL3/COL20A1",26
"GO:0043025","neuronal cell body","77/1254","474/16019",0.162447257383966,2.07515360130283,6.92469275690881,5.31127877577484e-10,1.01673050850547e-08,6.78885257053926e-09,"KCNN4/MAOB/MME/CCR2/ANG/ITPR3/NCF1/FLNA/TNFRSF1B/SYNPO/PCSK1/ATOH7/KCNA2/KCNN1/TRPC5/SPTBN2/GABBR1/CDK5R1/ATP2B2/DLG2/KIF5A/SERPINI1/SLC1A1/RTN4R/CACNG7/ATP1A2/MAST1/FLRT1/MAP2/GABRD/ELAVL4/PDE1A/MYOT/RTN1/GFRA1/KCNK2/SNCG/ADAM11/SEZ6L/NRSN1/SNAP25/RGS7BP/CPNE5/KCNA1/NRXN1/PRKCZ/RTN4RL2/SLC17A8/KCNB1/SLC8A2/SHANK2/KCNB2/KCND2/ZNF804A/CNTNAP2/PNOC/GRIA2/GAD2/CADM2/GABRA2/CPLX2/HTR5A/CPLX1/CHRNA4/KCNIP4/ATP1A3/NPPA/KLHL1/HTR2A/PCSK2/CHRM2/GRIA4/CACNA1B/PDYN/TAC1/KCNC2/GLRA3",77
"GO:0030667","secretory granule membrane","55/1254","298/16019",0.184563758389262,2.3576769103968,6.89446652987439,1.67006827768096e-09,2.79736436511561e-08,1.86783952109055e-08,"ABCA13/FPR2/CD44/PLAU/CLEC5A/LGALS3/C5AR1/ADAM8/CAV1/SERPINA5/SLC11A1/CR1/LILRB3/LILRB2/CD109/GPR84/FCAR/MME/PLAUR/SIGLEC14/CD14/ALDH3B1/SIGLEC9/ANPEP/ITPR3/LAIR1/FCGR2A/DOK3/CLEC4D/SELL/MGST1/SLC2A5/CEACAM1/ITGAM/TNFRSF1B/ITGB2/TCIRG1/TLR2/VNN1/FPR1/FCER1G/ITGB3/B4GALT1/CD68/LILRA3/NFAM1/LAMP3/SYT2/RAB26/ATP8A1/SCG3/RAB3A/SNAP25/SYT1/PCDH7",55
